<log creation> 21/10/2024 - 14:04:26
<information> 21/10/2024 - 14:04:26 | Iniciando o servidor da API
<information> 21/10/2024 - 14:06:56 | Requisição de 127.0.0.1 para inserir dados
<information> 21/10/2024 - 14:07:48 | Requisição de 127.0.0.1 para inserir dados
<information> 21/10/2024 - 14:08:02 | Requisição de 127.0.0.1 para inserir dados
<information> 21/10/2024 - 14:08:20 | Requisição de 127.0.0.1 para inserir dados
<information> 21/10/2024 - 14:08:26 | Requisição de 127.0.0.1 para vizualização dos dados
<information> 21/10/2024 - 14:08:54 | Requisição de 127.0.0.1 para inserir dados
<information> 21/10/2024 - 14:08:57 | Requisição de 127.0.0.1 para vizualização dos dados
<information> 21/10/2024 - 14:09:04 | Requisição de gráfico por 127.0.0.1
<information> 21/10/2024 - 14:09:17 | Requisição de 127.0.0.1 para treinamento de dados
<information> 21/10/2024 - 14:09:19 | Requisição de gráfico por 127.0.0.1
<information> 21/10/2024 - 14:09:26 | Requisição de 127.0.0.1 para vizualização dos dados
<information> 21/10/2024 - 14:09:40 | Requisição de salvamento por 127.0.0.1
<information> 21/10/2024 - 14:09:40 | Dados salvo em dados/dados_regressao.csv...
<information> 21/10/2024 - 14:09:40 | Salvamento pedido por 127.0.0.1 completo
